League,PlayerName,Stat,PropLine,Type
NFL,DeAndre Hopkins,Longest Reception,19.5,demon
NFL,Hollywood Brown,Receptions,2.5,goblin
NFL,Patrick Mahomes,Pass Attempts,39.5,demon
NFL,Hollywood Brown,Receptions,4.5,demon
NFL,Hollywood Brown,Receptions,5.5,demon
NFL,Xavier Worthy,Longest Reception,19.5,goblin
NFL,Patrick Mahomes,Longest Completion,34.5,goblin
NFL,Jalen Hurts,Pass Attempts,25.5,goblin
NFL,Jalen Hurts,Pass+Rush Yds,224.5,goblin
NFL,Jalen Hurts,Pass+Rush Yds,274.5,demon
NFL,Jalen Hurts,Pass+Rush Yds,299.5,demon
NFL,Kareem Hunt,Rush Yards,49.5,demon
NFL,Patrick Mahomes,INT,1.5,demon
NFL,Patrick Mahomes,Pass+Rush Yds,249.5,goblin
NFL,Kareem Hunt,Receptions,1.5,demon
NFL,Patrick Mahomes,Pass+Rush Yds,299.5,demon
NFL,Patrick Mahomes,Pass+Rush Yds,349.5,demon
NFL,Saquon Barkley,Rush Yards,79.5,goblin
NFL,Dallas Goedert,Receptions,6.5,demon
NFL,Travis Kelce,Receptions,8.5,demon
NFL,Hollywood Brown,Receptions,3.5,goblin
NFL,Saquon Barkley,Rush Yards,109.5,goblin
NFL,Isiah Pacheco,Receptions,2.5,demon
NFL,Dallas Goedert,Longest Reception,29.5,demon
NFL,Xavier Worthy,Receptions,6.5,demon
NFL,DeVonta Smith,Receptions,6.5,demon
NFL,Jalen Hurts,Longest Completion,44.5,demon
NFL,Jalen Hurts,Longest Completion,24.5,goblin
NFL,Isiah Pacheco,Rush Yards,19.5,goblin
NFL,Patrick Mahomes,Pass+Rush Yds,274.5,goblin
NFL,Travis Kelce,Receptions,6.5,demon
NFL,Kareem Hunt,Receptions,0.5,goblin
NFL,Xavier Worthy,Receptions,3.5,goblin
NFL,Kareem Hunt,Receptions,2.5,demon
NFL,Travis Kelce,Receptions,5.5,goblin
NFL,Patrick Mahomes,Pass+Rush Yds,324.5,demon
NFL,Jalen Hurts,Pass+Rush Yds,324.5,demon
NFL,Isiah Pacheco,Rush+Rec Yds,59.5,demon
NFL,Patrick Mahomes,Pass Completions,21.5,goblin
NFL,Harrison Butker,Kicking Points,5.5,goblin
NFL,Isiah Pacheco,Rush+Rec Yds,24.5,goblin
NFL,Jake Elliott,Kicking Points,5.5,goblin
NFL,Jahan Dotson,Receptions,1.5,demon
NFL,Harrison Butker,Kicking Points,9.5,demon
NFL,Jake Elliott,Kicking Points,9.5,demon
NFL,Jalen Hurts,Pass Attempts,34.5,demon
NFL,Patrick Mahomes,Pass Completions,27.5,demon
NFL,Xavier Worthy,Rush Yards,19.5,demon
NFL,Saquon Barkley,Rush Yards,159.5,demon
NFL,Samaje Perine,Receptions,1.5,demon
NFL,Saquon Barkley,Rush+Rec Yds,109.5,goblin
NFL,Jalen Hurts,Pass Completions,22.5,demon
NFL,Jalen Hurts,Pass Completions,16.5,goblin
NFL,Patrick Mahomes,Pass Attempts,44.5,demon
