'',gameId_advanced,teamId_advanced,teamCity_advanced,teamName_advanced,teamTricode_advanced,teamSlug_advanced,personId,firstName_advanced,familyName_advanced,nameI_advanced,playerSlug_advanced,position_advanced,comment_advanced,jerseyNum_advanced,minutes_advanced,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,gameId_traditional,teamId_traditional,teamCity_traditional,teamName_traditional,teamTricode_traditional,teamSlug_traditional,firstName_traditional,familyName_traditional,nameI_traditional,playerSlug_traditional,position_traditional,comment_traditional,jerseyNum_traditional,minutes_traditional,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,GAME_ID
30,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1629134,Kendrick,Nunn,K. Nunn,kendrick-nunn,,,,23:03,97.8,100.0,123.5,127.1,-25.8,-27.1,0.133,0.67,14.3,0.0,0.111,0.058,21.4,0.722,0.722,0.188,0.193,122.86,119.74,99.78,56.0,0.085,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Kendrick,Nunn,K. Nunn,kendrick-nunn,,,,23:03,5,9,0.556,3,6,0.5,0,0,0.0,0,3,3,2,1,0,3,2,13,-19.0,0022200002
31,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1629308,Juan,Toscano-Anderson,J. Toscano-Anderson,juan-toscano-anderson,,,,14:18,76.0,76.5,71.2,74.3,4.8,2.2,0.0,0.0,0.0,0.0,0.182,0.103,40.0,0.0,0.0,0.132,0.138,118.69,115.8,96.5,34.0,-0.077,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Juan,Toscano-Anderson,J. Toscano-Anderson,juan-toscano-anderson,,,,14:18,0,3,0.0,0,3,0.0,0,0,0.0,0,4,4,0,0,0,2,1,0,0.0,0022200002
32,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1629117,Wenyen,Gabriel,W. Gabriel,wenyen-gabriel,,,,7:48,67.6,66.7,67.6,63.2,0.0,3.5,0.25,0.0,33.3,0.071,0.0,0.048,0.0,0.0,0.0,0.095,0.101,109.29,113.85,94.87,18.0,-0.438,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Wenyen,Gabriel,W. Gabriel,wenyen-gabriel,,,,7:48,0,1,0.0,0,0,0.0,0,2,0.0,1,0,1,1,0,0,0,2,0,0.0,0022200002
33,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1630346,Matt,Ryan,M. Ryan,matt-ryan,,,,17:49,87.8,92.7,93.1,88.1,-5.3,4.6,0.0,0.0,0.0,0.0,0.045,0.023,20.0,0.375,0.375,0.111,0.11,111.86,111.81,93.17,41.0,-0.017,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Matt,Ryan,M. Ryan,matt-ryan,,,,17:49,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,0,1,0,1,2,3,1.0,0022200002
34,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1631306,Cole,Swider,C. Swider,cole-swider,,,,1:52,133.0,125.0,66.7,50.0,66.3,75.0,1.0,0.0,50.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.266,86.91,102.86,85.71,4.0,0.2,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Cole,Swider,C. Swider,cole-swider,,,,1:52,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,3.0,0022200002
35,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1630590,Scotty,Pippen Jr.,S. Pippen Jr.,scotty-pippen-jr,,,,1:52,133.0,125.0,66.7,50.0,66.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136,0.25,0.266,86.91,102.86,85.71,4.0,0.4,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Scotty,Pippen Jr.,S. Pippen Jr.,scotty-pippen-jr,,,,1:52,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,3.0,0022200002
36,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1631108,Max,Christie,M. Christie,max-christie,,,,1:52,133.0,125.0,66.7,50.0,66.3,75.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.5,1.5,0.25,0.266,86.91,102.86,85.71,4.0,0.8,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Max,Christie,M. Christie,max-christie,,,,1:52,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,3.0,0022200002
37,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1627745,Damian,Jones,D. Jones,damian-jones,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Damian,Jones,D. Jones,damian-jones,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022200002
38,0022200002,1610612744,Golden State,Warriors,GSW,warriors,203952,Andrew,Wiggins,A. Wiggins,andrew-wiggins,F,,,29:28,131.6,134.2,97.4,100.0,34.1,34.2,0.148,4.0,21.1,0.031,0.161,0.095,5.3,0.714,0.714,0.19,0.189,121.69,118.92,99.1,73.0,0.115,0022200002,1610612744,Golden State,Warriors,GSW,warriors,Andrew,Wiggins,A. Wiggins,andrew-wiggins,F,,,29:28,8,14,0.571,4,7,0.571,0,0,0.0,1,5,6,4,1,1,1,5,20,25.0,0022200002
39,0022200002,1610612744,Golden State,Warriors,GSW,warriors,203110,Draymond,Green,D. Green,draymond-green,F,,,24:41,113.3,111.7,87.7,91.7,25.6,20.0,0.217,5.0,45.5,0.0,0.152,0.081,9.1,0.4,0.4,0.09,0.092,118.51,116.68,97.23,60.0,0.082,0022200002,1610612744,Golden State,Warriors,GSW,warriors,Draymond,Green,D. Green,draymond-green,F,,,24:41,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,5,0,0,1,1,4,12.0,0022200002
